index,chemicalFormula Clean,Band gap values Clean,Band gap units,Band gap method,Reliability
0,Li1F1,13.6,eV,Reflection,1
1,Li1F1,12.61,eV,Reflection,1
2,Li1F1,12.6,eV,Estimated,2
3,Li1F1,12.1,eV,Absorption,2
4,Li1F1,12.0,eV,Absorption,2
5,Li1F1,11.7,eV,Absorption,2
6,Li1Cl1,9.33,eV,Reflection,1
7,Li1Br1,7.95,eV,Absorption,1
8,Li1Br1,7.5,eV,Reflection,2
9,Li3Sb1,1.0,eV,Thermal activation,1
10,Li1I1,6.0,eV,Reflection,1
11,Li1I1,6.0,eV,Estimated,2
12,Li1I1,5.62,eV,Absorption,2
13,Li1I1,5.9,eV,Absorption,2
14,Li1I1,6.3,eV,Estimated,2
15,Li3Bi1,0.7,eV,Thermal activation,1
16,Be1O1,10.39,eV,Reflection,1
17,Be1O1,10.57,eV,Reflection,1
18,Be1O1,11.2,eV,Reflection,2
19,Be1O1,11.6,eV,,2
20,Be1O1,14.5,eV,,2
21,Be1O1,5.2,eV,Thermal activation,2
22,Be1S1,4.17,eV,SCOPW,1
23,Be1Se1,3.61,eV,SCOPW,1
24,Be3Sb2,0.67,eV,Thermal activation,1
25,Be1Te1,2.89,eV,SCOPW,1
26,B1,0.93,eV,Absorption,1
27,B1,1.47,eV,Absorption,2
28,B1,1.53,eV,Absorption,2
29,B1,0.74,eV,Absorption,2
30,B1,1.16,eV,Photoconduction,2
31,B1,1.27,eV,Thermal activation,2
32,B1,1.38,eV,Absorption,2
33,B1,1.41,eV,Photoconduction,2
34,B1,1.42,eV,Thermal activation,2
35,B1,1.44,eV,Photoconduction,2
36,B1,1.55,eV,Thermal activation,2
37,B1N1,8.0,eV,APW,1
38,B1N1,3.4,eV,,2
39,B1N1,3.8,eV,Absorption,2
40,B2O3,7.0,eV,,1
41,B2O3,4.9,eV,,2
42,B1P1,2.0,eV,Absorption,1
43,B1P1,2.0,eV,,2
44,B1P1,2.0,eV,Absorption,2
45,B1P1,5.9,eV,,2
46,B1P1,4.5,eV,,2
47,B1As1,1.46,eV,Absorption,1
48,B1As1,1.6,eV,SCOPW,2
49,B1As1,3.56,eV,SCOPW,2
51,B1Sb1,2.6,eV,,1
52,C,5.47,eV,Absorption,1
53,C,7.02,eV,Reflection,1
54,C,5.412999999999999,eV,Photoconduction,2
55,C,5.492999999999999,eV,Photoconduction,2
56,C,5.502999999999999,eV,Photoconduction,2
57,C,5.542000000000001,eV,Photoconduction,2
58,C,5.41,eV,Absorption,2
59,C,6.0,eV,,2
60,C1Br4,3.7,eV,Absorption,1
61,C1I4,2.26,eV,Absorption,1
63,Na1F1,10.5,eV,,1
64,Na2S1,2.4,eV,Estimated,1
65,Na1Cl1,8.97,eV,Absorption,1
66,Na1Cl1,8.5,eV,Reflection,2
67,Na1Cl1,8.6,eV,Reflection,2
68,Na1Cl1,8.97,eV,Reflection,2
69,Na1Cl1,8.4,eV,Absorption,2
70,Na1Cl1,8.6,eV,Absorption,2
71,Na2Se1,2.0,eV,Estimated,1
72,Na1Br1,7.5,eV,Absorption,1
73,Na1Br1,7.26,eV,Reflection,2
74,Na1Br1,7.025,eV,Reflection,2
75,Na1Br1,7.7,eV,Absorption,2
76,Na3Sb1,1.1,eV,Absorption,1
77,Na3Sb1,1.1,eV,Absorption,2
78,Na3Sb1,1.1,eV,Photoconduction,2
79,Na3Sb1,1.17,eV,Thermal activation,2
80,Na3Sb1,1.0,eV,Photoconduction,2
81,Na3Sb1,2.2,eV,Absorption,2
82,Na2Te1,2.3,eV,Thermal activation,1
83,Na2Te1,2.0,eV,Estimated,2
84,Na1I1,5.89,eV,Reflection,1
85,Na1I1,6.0,eV,Absorption,2
86,Na1I1,5.93,eV,Reflection,2
87,Na1I1,5.8,eV,Absorption,2
88,Na1I1,6.75,eV,Absorption,2
89,Mg1O1,7.77,eV,Reflection,1
90,Mg1O1,7.69,eV,Reflection,2
91,Mg1O1,7.4,eV,Absorption,2
92,Mg1F2,11.8,eV,Reflection,1
93,Mg1F2,11.1,eV,Absorption,2
94,Mg1F2,10.8,eV,Absorption,2
95,Mg1F2,5.65,eV,Thermal activation,2
97,Mg2Si1,0.6,eV,Estimated,1
98,Mg2Si1,2.27,eV,Electroreflection,1
99,Mg2Si1,0.77,eV,Thermal activation,2
100,Mg2Si1,0.78,eV,,2
101,Mg2Si1,0.655,eV,Photoconduction,2
102,Mg2Si1,2.17,eV,Reflection,2
103,Mg2Si1,0.66,eV,Absorption,2
104,Mg2Si1,2.27,eV,Electroreflection,2
105,Mg3P2,1.4,eV,Estimated,1
107,Mg2Ge1,0.532,eV,Absorption,1
108,Mg2Ge1,1.64,eV,Electroreflection,1
109,Mg2Ge1,0.69,eV,Thermal activation,2
110,Mg2Ge1,0.57,eV,Absorption,2
111,Mg2Ge1,1.804,eV,,2
112,Mg2Ge1,0.66,eV,Photoconduction,2
113,Mg2Ge1,0.5670000000000001,eV,Absorption,2
114,Mg2Ge1,0.57,eV,,2
