AtomicNumber_composition_average,AtomicRadii_composition_average,AtomicVolume_composition_average,AtomicWeight_composition_average,BCCefflatcnt_composition_average,BCCenergy_pa_composition_average,BCCfermi_composition_average,BCCmagmom_composition_average,BCCvolume_pa_composition_average,BCCvolume_padiff_composition_average,BoilingT_composition_average,BulkModulus_composition_average,Column_composition_average,CovalentRadii_composition_average,CovalentRadius_composition_average,Density_composition_average,ElasticModulus_composition_average,ElectricalConductivity_composition_average,ElectronAffinity_composition_average,Electronegativity_composition_average,FirstIonizationEnergy_composition_average,GSbandgap_composition_average,GSenergy_pa_composition_average,GSestBCClatcnt_composition_average,GSestFCClatcnt_composition_average,GSmagmom_composition_average,GSvolume_pa_composition_average,Group_composition_average,HHIp_composition_average,HHIr_composition_average,HeatCapacityMass_composition_average,HeatCapacityMolar_composition_average,HeatFusion_composition_average,HeatVaporization_composition_average,ICSDVolume_composition_average,IonicRadii_composition_average,IonizationEnergy_composition_average,IsAlkali_composition_average,IsAlkalineEarth_composition_average,IsBCC_composition_average,IsBoron_composition_average,IsCarbon_composition_average,IsChalcogen_composition_average,IsDBlock_composition_average,IsFBlock_composition_average,IsFCC_composition_average,IsHalogen_composition_average,IsHexagonal_composition_average,IsMetal_composition_average,IsMetalloid_composition_average,IsMonoclinic_composition_average,IsNobleGas_composition_average,IsNonmetal_composition_average,IsOrthorhombic_composition_average,IsPnictide_composition_average,IsRareEarth_composition_average,IsRhombohedral_composition_average,IsSimpleCubic_composition_average,IsTetragonal_composition_average,IsTransitionMetal_composition_average,MeltingT_composition_average,MendeleevNumber_composition_average,MiracleRadius_composition_average,NUnfilled_composition_average,NValance_composition_average,NdUnfilled_composition_average,NdValence_composition_average,NfUnfilled_composition_average,NfValence_composition_average,NpUnfilled_composition_average,NpValence_composition_average,NsUnfilled_composition_average,NsValence_composition_average,Number_composition_average,Period_composition_average,Polarizability_composition_average,Row_composition_average,SecondIonizationEnergy_composition_average,ShearModulus_composition_average,SpaceGroupNumber_composition_average,SpecificHeatCapacity_composition_average,ThermalConductivity_composition_average,ThermalExpansionCoefficient_composition_average,ThirdIonizationEnergy_composition_average,n_ws^third_composition_average,phi_composition_average,valence_composition_average
6,1.135,9311.576313,12.969702,5.772386,-1.346741,-0.679877,0,12.47,-0.680417,849.94,5.5,9,0.975,92.5,268.348,5,5.85E+00,193.9,2.48,11.40726,0.985,-1.783974,2.95063,3.717561,0,13.150417,9,2200,2850,2.203,28.082,1.6275,75.1849,19,1.045,1100.5,0.5,0,0.5,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0.5,0,0,0,0,0.5,0,0,253.595,47,76,1,4,0,0,0,0,0.5,2.5,0.5,1.5,6,2,12.446,2,55.804,2.1,122,2.203,42.36395,923,92.579,0.49,1.425,1
10,1.27,9169.525548,21.197,6.658641,-1.41004,1.219961,0,18.525,-2.020417,926.98,6.05,9,1.11,115,269.107,5,5.85E+00,204.3,2.07,9.179674,1.2465,-1.82716,3.436376,4.329563,0,20.545417,9,2200,2600,2.0305,29.4045,3.1,78.65,25.3,1.285,885.55,0.5,0,0.5,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0.5,0.5,0,0,0,0,0,0,312.645,47.5,76,1,4,0,0,0,0,0.5,2.5,0.5,1.5,10,2.5,13.2575,2.5,50.224,2.1,146.5,2.031,42.35445,23,81.031,0.49,1.425,4
19,1.345,32.035942,43.4225,6.919518,-1.432083,1.117212,0,21.035,-2.001667,973.5,6.45,9,1.185,124,1827.5,5,5.85E+00,192.2,1.97,8.60276,0.7285,-1.726456,3.552844,4.476302,0,23.036667,9,3100,5550,2.028,50.275,4.1425,80.9125,43.35,1.36,829.95,0.5,0,0.5,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0.5,0.5,0,0,0,0,0,0,359.745,48,76,1,9,0,5,0,0,0.5,2.5,0.5,1.5,19,3,13.6925,3,49.219,2.1,146.5,1.904,42.411,23,79.2255,0.49,1.425,4
15,1.56,23.705899,35.64575,6.704252,-2.37163,2.267697,0,19.155,-1.18,1676.25,18.75,4.5,1.2725,130.75,2075.5,24.25,9.43E+00,70.1,1.2475,6.195887,0,-2.431756,3.405574,4.290754,0,20.335,4.5,4150,4000,2.73825,24.9525,7.1975,127.3175,23.75,0.76,598.425,0.75,0,0.75,0,0,0,0,0,0,0,0,1,0.25,0,0,0,0,0.25,0,0.25,0,0,0,566.2125,22,152.75,1.5,4.5,0,2.5,0,0,0.75,0.75,0.75,1.25,15,2.75,19.90125,2.75,61.611,8.15,213.25,2.73825,69.6,37.25,98.16325,1.05,3.2375,2
28,1.44,32.101458,66.922735,7.343549,-1.459519,2.360221,0,25.935,-3.869167,1036.15,9.35,9,1.28,133.5,2737.5,5,5.85E+00,177.55,1.82,7.92149,0.531,-1.687645,3.814044,4.805395,0,29.804167,9,3900,4500,1.898,39.645,5.38,84,32.05,1.48,764.2,0.5,0,0.5,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0.5,0.5,0,0,0,0,0,0,420.27,48.5,76,1,9,0,5,0,0,0.5,2.5,0.5,1.5,28,3.5,14.68,3.5,47.8845,2.1,146.5,1.8635,42.5745,66.5,77.7255,0.49,1.425,4
23,1.5875,25.028908,57.45085,6.767748,-2.372997,2.286196,0,19.86,-0.8225,1670.5,16,4.5,1.2875,133,2846.25,16,9.00E+00,72.35,1.24,5.865164,0,-2.395839,3.419978,4.308902,0,20.6825,4.5,3500,4650,2.717,25.025,5.0265,155.075,25.025,0.8275,565.825,0.75,0,0.75,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.25,0,0.25,0,0,0,476.3675,22.25,154.5,1.5,8,0,2.5,0,3.5,0.75,0.75,0.75,1.25,23,3,18.35125,3,61.65025,6.15,174.75,2.717,65.4925,37.85,98.228,1.025,3.175,2
6,0.925,9300.147671,12.505791,4.946102,-3.057512,5.584821,0,7.565,-0.9325,1416.55,65,9,0.815,81,924.7145,150.5,1.25E+01,-49.45,2.505,11.470375,0,-4.255915,2.569567,3.237451,0,8.4975,9,4250,2250,1.3715,22.9105,4.0575,150.20545,12.7,0.925,1106.65,0,0.5,0,0,0,0.5,0,0,0,0,0.5,0.5,0,0,0,0.5,0,0,0,0,0.5,0,0,807.4,77,88,1,4,0,0,0,0,1,2,0,2,6,2,3.201,2,26.664,66,103,1.3725,100.1337,395.65,104.4135,0.835,2.525,2
10,1.195,17.632361,20.538591,5.648133,-3.329031,7.930848,0,11.71,-5.128438,1730.36,68.85,9,0.96,100.5,1904,160,1.25E+01,-19.79,2.075,9.841355,1.101,-3.926128,3.115262,3.924984,0,16.838437,9,4350,2500,1.2665,19.5715,4.808,153.5,16.9,0.37,949.49,0,0.5,0,0,0,0.5,0,0,0,0,0.5,0.5,0,0,0,0.5,0.5,0,0,0,0,0,0,974.18,77.5,107.5,1,4,0,0,0,0,1,2,0,2,10,2.5,4.25,2.5,20.7705,66,132,1.2675,100.1345,40.65,94.3615,0.835,2.525,4
19,1.26,17.653491,43.986091,5.92828,-3.278007,6.853935,0,13.985,-2.92,1850.5,69.15,9,1.03,108,3333.5,160.5,1.65E+01,-22.52,2.06,9.537545,0.3995,-3.612915,3.118459,3.929012,0,16.905,9,5100,5000,1.073,20.903,7.2925,161.66,18.95,0.475,920.15,0,0.5,0,0,0,0.5,0,0,0,0,1,0.5,0,0,0,0.5,0,0,0,0,0,0,0,1027,78,115,1,9,0,5,0,0,1,2,0,2,19,3,4.685,3,19.7005,67.85,104,1.0725,101.02,28.15,92.3565,0.835,2.525,4
22.8,1.308,16.935475,54.111309,6.025566,-3.749129,8.21333,0,15.516,-1.842,2389.8,94.8,7.2,1.1,113.2,3787.6,207.4,1.60E+01,-103.6,1.762,9.036976,0,-3.899968,3.097576,3.902702,0,17.358,7.2,7960,3760,1.1778,19.9578,12.653,205.388,16.94,0.574,873.12,0,0.6,0,0,0,0,0,0,0,0,0.6,1,0.4,0,0,0,0,0.4,0,0.4,0,0,0,1297.512,74.2,129.2,1.2,7.2,0,4,0,0,1.2,1.2,0,2,22.8,3.2,6,3.2,17.5386,87.2,182.8,1.1778,129.72,11.18,102.4558,1.506,4.79,3.2
