chemicalFormula Clean,Band gap values Clean,Band gap units,index,Reliability
Li1F1,13.105,eV,0,1
Li1Cl1,9.33,eV,6,1
Li1Br1,7.95,eV,7,1
Li3Sb1,1,eV,9,1
Li1I1,6,eV,10,1
Li3Bi1,0.7,eV,15,1
Be1O1,10.48,eV,16,1
Be1S1,4.17,eV,22,1
Be1Se1,3.61,eV,23,1
Be3Sb2,0.67,eV,24,1
Be1Te1,2.89,eV,25,1
B1,0.93,eV,26,1
B1N1,8,eV,37,1
B2O3,7,eV,40,1
B1P1,2,eV,42,1
B1As1,1.46,eV,47,1
B1Sb1,2.6,eV,51,1
C,6.245,eV,52,1
C1Br4,3.7,eV,60,1
C1I4,2.26,eV,61,1
Na1F1,10.5,eV,63,1
Na2S1,2.4,eV,64,1
Na1Cl1,8.97,eV,65,1
Na2Se1,2,eV,71,1
Na1Br1,7.5,eV,72,1
Na3Sb1,1.1,eV,76,1
Na2Te1,2.3,eV,82,1
Na1I1,5.89,eV,84,1
Mg1O1,7.77,eV,89,1
Mg1F2,11.8,eV,92,1
Mg2Si1,1.435,eV,97,1
Mg3P2,1.4,eV,105,1
Mg2Ge1,1.086,eV,107,1
Mg3As2,2.55,eV,123,1
Mg1Se1,5.6,eV,125,1
Mg2Sn1,0.1575,eV,128,1
Mg3Sb2,0.82,eV,137,1
Mg1Te1,4.7,eV,139,1
Mg2Pb1,0.041,eV,141,1
Mg3Bi2,0.1,eV,144,1
Al1B1,0.82,eV,146,1
Al1N1,5.74,eV,149,1
Al2O3,9.7,eV,153,1
Al1P1,2.45,eV,159,1
Al2S3,4.1,eV,163,1
Al1As1,2.5,eV,164,1
Al2Se3,3.1,eV,176,1
Al1Sb1,1.919,eV,177,1
Al2Te3,2.5,eV,181,1
Al1Bi1,0.4,eV,184,1
Si1C1,2.53,eV,185,1
Si3N4,5,eV,192,1
Si1O2,11,eV,195,1
Si,1.12,eV,199,1
Si1P2,1.89,eV,206,1
Si1As1,1.45,eV,207,1
Si1Se2,1.72,eV,211,1
Si1Sn1,0.59,eV,213,1
Si2Te3,1.98,eV,214,1
Si1Te2,2.015,eV,215,1
P,0.965,eV,218,1
P1As1,0.23,eV,222,1
S,3.82,eV,223,1
K1F1,10.6,eV,226,1
K2S1,2.1,eV,230,1
K1Cl1,8.5,eV,231,1
K2Se1,1.8,eV,236,1
K1Br1,7.6,eV,237,1
K3Sb1,1.4,eV,245,1
K2Te1,1.9,eV,251,1
K1I1,6.17,eV,252,1
Ca1B6,4.5,eV,262,1
Ca1O1,7.7,eV,265,1
Ca1F2,10,eV,270,1
Ca2Si1,1.9,eV,271,1
Ca1S1,6,eV,272,1
Ca1Se1,4.87,eV,274,1
Ca2Sn1,0.9,eV,275,1
Ca1Te1,4.07,eV,276,1
Ca1I2,5.98,eV,277,1
Ca2Pb1,0.46,eV,278,1
Sc1N1,2.6,eV,279,1
Sc2O3,6,eV,280,1
Sc2S3,2,eV,284,1
Ti1C0.9,0.3,eV,285,1
Ti2O3,0.04,eV,286,1
Ti1O2,3.15,eV,287,1
Ti1S2,1.24,eV,295,1
Ti2S3,0.3,eV,296,1
Ti1S3,0.9,eV,297,1
Ti1Se2,0.69,eV,299,1
Ti1Te2,1,eV,301,1
V1O1,0.3,eV,302,1
V2O3,0.1,eV,303,1
V2O5,2.34,eV,304,1
V1O2,0.65,eV,305,1
V2O4,0.66,eV,306,1
V5O9,0.15,eV,307,1
V4O7,0.8,eV,308,1
Cr2O3,1.68,eV,317,1
Cr1O2,0.23,eV,318,1
Cr1Si2,0.35,eV,322,1
Cr2S3,0.9,eV,323,1
Cr3Se4,0.015,eV,324,1
Cr2Se3,0.025,eV,325,1
Cr1Sb1,0.2,eV,328,1
CrTe,0.02,eV,329,1
Mn1O2,0.26,eV,330,1
Mn1O1,3.7,eV,331,1
Mn1F2,10.05,eV,337,1
Mn1Al3,0.58,eV,340,1
MnSi,0.6,eV,341,1
Mn1S1,6.2,eV,343,1
Mn1Se2,0.2,eV,345,1
Mn1Se1,1.8,eV,346,1
Mn1Te1,1.25,eV,347,1
Mn1Te2,0.48,eV,348,1
Mn1I2,4.04,eV,351,1
Fe2O3,2.34,eV,353,1
Fe1Si2,0.9,eV,356,1
Fe1Si1,0.1,eV,357,1
Fe1P2,0.4,eV,360,1
Fe1S2,1.2,eV,361,1
Fe1As2,0.2,eV,362,1
Fe1Sc2,0.77,eV,364,1
Fe1Sb2,0.17,eV,366,1
Fe2Te3,0.6,eV,368,1
Fe1Te2,0.46,eV,369,1
Fe1I2,5.15,eV,371,1
Co1O1,0.47,eV,372,1
Co1Si1,0.045,eV,377,1
Co1As2,0.15,eV,378,1
Co1As3,0.25,eV,379,1
Co1Te1.88,0.2,eV,380,1
Ni1O1,3.7,eV,381,1
Ni1P2,0.5,eV,385,1
Ni1S1,0.12,eV,386,1
Ni1S2,0.5,eV,387,1
Ni1As2,0.05,eV,389,1
NiTe,0.23,eV,390,1
Cu1N3,4.17,eV,391,1
Cu2O1,2.023,eV,393,1
Cu1P2,1.4,eV,400,1
Cu2S1,1.21,eV,402,1
Cu1Cl1,3.306,eV,410,1
Cu2Se1,1.23,eV,411,1
Cu1Br1,2.987,eV,415,1
Cu2Te1,1.08,eV,417,1
Cu1I1,3.07,eV,422,1
Zn1O1,3.35,eV,424,1
Zn1P2,1.9275,eV,429,1
Zn3P2,1.15,eV,432,1
Zn1S1,3.87,eV,434,1
Zn1As2,0.9,eV,441,1
Zn3As2,0.93,eV,442,1
Zn1Se1,2.67,eV,447,1
Zn1Sb1,0.745,eV,453,1
Zn3Sb2,0.22,eV,455,1
Zn4Sb3,1.2,eV,456,1
Zn1Te1,2.25,eV,472,1
Zn1I2,4.53,eV,485,1
Ga1N1,3.24,eV,486,1
Ga2O3,4.54,eV,490,1
Ga1P1,2.5,eV,492,1
Ga1S1,2.5,eV,499,1
Ga2S3,3.59,eV,500,1
Ga1As1,1.42,eV,511,1
Ga1Se1,2.05,eV,528,1
Ga2Se3,2.05,eV,530,1
Ga1Sb1,0.725,eV,546,1
Ga1Te1,1.42,eV,552,1
Ga2Te3,1.225,eV,553,1
Ga1Bi1,0.1,eV,566,1
Ge1O2,5.56,eV,567,1
Ge1S1,1.58,eV,578,1
Ge1S2,3.54,eV,579,1
Ge,0.335,eV,585,1
Ge1As1,1.05,eV,595,1
Ge1As2,1.225,eV,596,1
Ge1Se1,1.315,eV,599,1
Ge1Se2,2.4325,eV,601,1
Ge1Sn1,0.8,eV,606,1
Ge1Te1,0.84,eV,607,1
Ge1Te2,0.3,eV,608,1
Ge1I2,1.5,eV,613,1
As2O3,4,eV,614,1
As2S3,2.43,eV,616,1
As4S4,2.4,eV,617,1
As2S5,2.48,eV,618,1
As,1.2,eV,644,1
As1Se1,1.215,eV,648,1
As2Se3,1.77,eV,650,1
As1Br3,2.6,eV,661,1
As2Te3,0.48,eV,662,1
As1Te1,0.74,eV,663,1
As1I3,2.29,eV,669,1
SeS,1.9,eV,671,1
Se,1.72667,eV,672,1
Se1Te1,0.64,eV,689,1
Se3Te1,1.87,eV,690,1
Rb1F1,10.4,eV,693,1
Rb1Cl1,8.29,eV,694,1
Rb1Br1,7.2,eV,699,1
Rb3Sb1,1,eV,703,1
Rb2Te1,4.5,eV,707,1
Rb1I1,5.83,eV,708,1
Sr1O1,5.77,eV,716,1
Sr1S1,4.76,eV,719,1
Sr1Se1,4.42,eV,721,1
Sr1Te1,3.73,eV,723,1
Y1N1,1.9,eV,725,1
Y2O3,5.6,eV,726,1
ZrC,0.6,eV,728,1
Zr6O1,0.18,eV,729,1
Zr3O1,0.2,eV,730,1
Zr1O2,4.99,eV,731,1
Zr1S2,2.215,eV,734,1
Zr1S3,2.17,eV,736,1
Zr1Se2,2,eV,739,1
Zr1Se3,1.25,eV,740,1
Nb1O2,0.25,eV,741,1
